                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.342,                 1.5687,                 1.2268,                0.79786,                0.73495,                0.79504,                0.44257,                 1.3981,                   1.62,                 1.3119,             0.00066385,             0.00066385,             0.00066385
                      2,                 1.4063,                 1.1819,                 1.2686,                0.70536,                0.59514,                0.66242,                0.35127,                 1.5628,                 1.4482,                 1.3819,              0.0012866,              0.0012866,              0.0012866
                      3,                  1.433,                 1.1475,                 1.2896,                 0.7698,                0.62188,                 0.6985,                0.37658,                 1.6255,                 1.6939,                 1.3948,              0.0018654,              0.0018654,              0.0018654
                      4,                 1.4011,                 1.0882,                  1.272,                0.86621,                0.80061,                0.86789,                0.52991,                 1.3333,                0.86505,                 1.2362,               0.001802,               0.001802,               0.001802
                      5,                 1.3431,                 1.0124,                 1.2422,                0.92036,                0.80086,                0.88101,                0.55799,                 1.2587,                0.85628,                 1.1866,               0.001736,               0.001736,               0.001736
                      6,                 1.2873,                0.95198,                 1.2141,                 0.9047,                0.82067,                0.89419,                0.57437,                 1.2321,                0.78157,                 1.1537,                0.00167,                0.00167,                0.00167
                      7,                 1.2537,                0.90261,                 1.1964,                0.88119,                0.82492,                0.88965,                0.58765,                 1.1652,                0.77757,                  1.139,               0.001604,               0.001604,               0.001604
                      8,                 1.2181,                0.86705,                  1.178,                0.90993,                0.81684,                0.89523,                0.58546,                 1.1937,                0.76476,                 1.1483,               0.001538,               0.001538,               0.001538
                      9,                 1.2036,                0.84374,                 1.1656,                 0.9286,                0.86181,                 0.9238,                0.61292,                 1.1687,                0.66622,                 1.1167,               0.001472,               0.001472,               0.001472
                     10,                 1.1814,                0.83267,                 1.1595,                0.93819,                0.86735,                0.93097,                0.63085,                 1.1156,                0.65897,                 1.1099,               0.001406,               0.001406,               0.001406
                     11,                 1.1593,                0.80673,                 1.1494,                0.92553,                 0.8541,                0.92298,                0.61327,                 1.1728,                 0.6706,                 1.1328,                0.00134,                0.00134,                0.00134
                     12,                 1.1349,                0.77826,                 1.1339,                0.93299,                0.87185,                0.92952,                0.64477,                 1.0619,                0.64743,                 1.0716,               0.001274,               0.001274,               0.001274
                     13,                 1.1241,                0.76596,                 1.1302,                0.93855,                 0.8772,                0.93565,                0.63971,                 1.0775,                0.59347,                 1.0971,               0.001208,               0.001208,               0.001208
                     14,                  1.107,                0.74705,                 1.1233,                0.93905,                0.86172,                0.92703,                0.64045,                 1.0588,                0.62123,                 1.0948,               0.001142,               0.001142,               0.001142
                     15,                 1.0912,                0.73088,                 1.1127,                0.95931,                0.88267,                0.94816,                0.66816,                 1.0317,                 0.5533,                 1.0632,               0.001076,               0.001076,               0.001076
                     16,                 1.0734,                0.72188,                 1.1082,                0.95144,                0.87842,                0.94169,                0.66405,                 1.0175,                0.56084,                   1.06,                0.00101,                0.00101,                0.00101
                     17,                 1.0591,                0.70437,                 1.0983,                0.95425,                0.90025,                0.95275,                0.68545,                0.99377,                0.53684,                 1.0545,               0.000944,               0.000944,               0.000944
                     18,                  1.052,                0.68963,                 1.0956,                0.94922,                0.89763,                0.95288,                0.68567,                0.97937,                 0.5355,                 1.0471,               0.000878,               0.000878,               0.000878
                     19,                  1.029,                0.67146,                 1.0825,                0.96101,                0.89902,                0.95297,                 0.6938,                0.97642,                0.51948,                 1.0334,               0.000812,               0.000812,               0.000812
                     20,                  1.019,                0.66057,                 1.0744,                0.95246,                0.91064,                0.95706,                0.69744,                0.96979,                0.50608,                 1.0303,               0.000746,               0.000746,               0.000746
                     21,                0.89451,                0.49245,                 0.9862,                0.95376,                0.90091,                0.94965,                0.69592,                0.94961,                 0.5129,                 1.0253,                0.00068,                0.00068,                0.00068
                     22,                0.88006,                0.47581,                0.97754,                0.95564,                0.90578,                0.95488,                0.70257,                0.95133,                0.49509,                 1.0294,               0.000614,               0.000614,               0.000614
                     23,                0.85305,                0.45825,                0.96109,                0.95946,                0.91064,                0.95558,                0.70483,                0.95038,                0.48294,                 1.0336,               0.000548,               0.000548,               0.000548
                     24,                0.83223,                0.44319,                0.95962,                0.95837,                0.90966,                0.95666,                0.71133,                 0.9309,                0.47105,                 1.0208,               0.000482,               0.000482,               0.000482
                     25,                0.80759,                0.42413,                0.94428,                0.96254,                0.90638,                0.95759,                0.70981,                0.92638,                0.47098,                 1.0115,               0.000416,               0.000416,               0.000416
                     26,                0.80012,                0.41784,                0.93961,                 0.9562,                0.91571,                0.95821,                0.71393,                0.92082,                0.46043,                 1.0122,                0.00035,                0.00035,                0.00035
                     27,                0.77997,                0.40213,                0.93122,                0.95863,                0.91573,                0.96023,                0.71778,                0.92712,                0.45997,                 1.0166,               0.000284,               0.000284,               0.000284
                     28,                0.76197,                0.39067,                0.92055,                0.96545,                0.91727,                0.95812,                0.71561,                0.91915,                 0.4544,                 1.0186,               0.000218,               0.000218,               0.000218
                     29,                0.74796,                 0.3805,                0.91915,                0.96112,                0.91656,                0.96033,                0.71737,                0.91053,                0.44844,                 1.0107,               0.000152,               0.000152,               0.000152
                     30,                0.73714,                0.37151,                0.91385,                0.96386,                0.91672,                0.95978,                0.72054,                0.90547,                0.44577,                 1.0105,                8.6e-05,                8.6e-05,                8.6e-05
